method,control,mean_err,median_err,max_err,time_s,mem_mb
Vern9,1.0e-6,2.5669156025226457e-7,1.0143009077090426e-7,8.360418853925466e-5,0.1132707,3.6103267669677734
Vern9,3.162277660168379e-7,7.785400883891791e-8,4.147896826012243e-8,1.882336856895428e-5,0.1455934,3.6103572845458984
Vern9,1.0000000000000001e-7,3.231823509933229e-8,1.934793991686945e-8,7.143143112564587e-7,0.168581,3.610311508178711
Vern9,3.162277660168379e-8,1.0961709003970421e-8,7.354773123857683e-9,1.0953554974157953e-7,0.197493,3.610311508178711
Vern9,1.0e-8,4.97326781298546e-9,3.0262028438698962e-9,2.818291922057625e-7,0.2380864,3.610311508178711
Vern9,3.1622776601683795e-9,2.6104345107746953e-9,1.644047564752782e-9,1.694397453455565e-7,0.2604425,3.610342025756836
Vern9,1.0e-9,1.5023991437046469e-9,7.823243164395421e-10,1.4011688698190028e-8,0.3091929,3.6102962493896484
Vern9,3.1622776601683795e-10,1.4234920073241676e-9,7.818072855769742e-10,1.4055286490233243e-8,0.3556702,3.6102962493896484
Vern9,1.0e-10,1.4185424701551596e-9,7.854392691797329e-10,1.4015056448712926e-8,0.4012808,3.610342025756836
Vern9,3.1622776601683794e-11,1.4277248022720457e-9,7.773329757654324e-10,1.4015258287258803e-8,0.4545552,3.610342025756836
Vern9,1.0e-11,1.4311231695540717e-9,7.777800625774489e-10,1.3999969628031295e-8,0.5342396,3.610311508178711
Rosenbrock23,0.1,0.16591305378528912,0.08399968711398786,1.1088564783280748,0.0038502,6.209005355834961
Rosenbrock23,0.03162277660168379,0.06938615959805695,0.02472246585473825,0.9979294567091612,0.0071402,6.775457382202148
Rosenbrock23,0.010000000000000002,0.029942452754754146,0.011582525432772162,0.9956474256949202,0.0091685,7.542318344116211
Rosenbrock23,0.0031622776601683794,0.009856308411635054,0.004714535621489047,0.994511824820826,0.0116501,8.602056503295898
Rosenbrock23,0.001,0.00430720611860387,0.0024667100222881544,0.9953576519994027,0.015592,10.047842025756836
Rosenbrock23,0.00031622776601683794,0.002557201771828342,0.0011933767141517615,0.9972743902624224,0.0214247,12.109350204467773
Rosenbrock23,0.0001,0.0016214323718817991,0.0006269228745254818,0.9989262591840791,0.030595,15.185491561889648
Rosenbrock23,3.1622776601683795e-5,0.0004943470548478334,0.0003064938625696456,0.0019517493371985495,0.0467553,19.67751121520996
